params,accuracy,f1_score
32-4-2,1.0,1.0
32-4-4,1.0,1.0
32-8-2,1.0,1.0
32-8-4,1.0,1.0
64-4-2,1.0,1.0
64-4-4,1.0,1.0
64-8-2,1.0,1.0
64-8-4,1.0,1.0
128-4-2,1.0,1.0
128-4-4,1.0,1.0
128-8-2,1.0,1.0
128-8-4,1.0,1.0
