params,accuracy,f1_score
50-4-0.01,0.8867924528301887,0.0
50-10-0.01,0.8867924528301887,0.0
50-4-0.05,0.9811320754716981,0.9090909090909091
50-10-0.05,0.9811320754716981,0.9090909090909091
50-4-0.1,0.9811320754716981,0.9090909090909091
50-10-0.1,0.9811320754716981,0.9090909090909091
100-4-0.01,0.9811320754716981,0.9090909090909091
100-10-0.01,0.9811320754716981,0.9090909090909091
100-4-0.05,0.9811320754716981,0.9090909090909091
100-10-0.05,0.9811320754716981,0.9090909090909091
100-4-0.1,0.9622641509433962,0.8333333333333334
100-10-0.1,0.9622641509433962,0.8333333333333334
200-4-0.01,0.9622641509433962,0.8333333333333334
200-10-0.01,0.9622641509433962,0.8333333333333334
200-4-0.05,0.9622641509433962,0.8333333333333334
200-10-0.05,0.9622641509433962,0.8333333333333334
200-4-0.1,0.9622641509433962,0.8333333333333334
200-10-0.1,0.9622641509433962,0.8333333333333334
