params,accuracy,f1_score
"(64, 32)-0.001-50",0.7,0.6666666666666666
"(64, 32)-0.001-100",0.7,0.6666666666666666
"(64, 32)-0.0005-50",0.7,0.6666666666666666
"(64, 32)-0.0005-100",0.7,0.6666666666666666
"(128, 64)-0.001-50",0.8,0.8
"(128, 64)-0.001-100",0.8,0.8
"(128, 64)-0.0005-50",0.8,0.8
"(128, 64)-0.0005-100",0.8,0.8
"(256, 128)-0.001-50",0.8,0.8
"(256, 128)-0.001-100",0.8,0.8
"(256, 128)-0.0005-50",0.8,0.8
"(256, 128)-0.0005-100",0.8,0.8
