params,accuracy,f1_score
5-32,0.8333333333333334,0.8941176470588236
5-64,0.8333333333333334,0.8941176470588236
5-128,0.8518518518518519,0.9069767441860465
10-32,0.8148148148148148,0.8863636363636364
10-64,0.7962962962962963,0.8735632183908046
10-128,0.7777777777777778,0.8604651162790697
20-32,0.7962962962962963,0.8735632183908046
20-64,0.8333333333333334,0.8941176470588236
20-128,0.7777777777777778,0.8604651162790697
